id,race
1,White
2,White
3,White
4,White
5,White
6,White
7,White
8,White
9,White
10,White
11,White
12,White
13,White
14,White
15,White
16,White
17,White
18,White
19,White
20,White
21,White
22,White
23,White
24,White
25,White
26,White
27,White
28,White
29,White
30,White
31,White
32,White
33,White
34,White
35,White
36,White
37,White
38,White
39,White
40,White
41,White
42,White
43,White
44,White
45,White
46,White
47,White
48,White
49,White
50,White
51,White
52,White
53,White
54,White
55,White
56,White
57,White
58,White
59,White
60,White
61,White
62,White
63,White
64,White
65,White
66,White
67,White
68,White
69,White
70,White
71,White
72,White
73,White
74,White
75,White
76,White
77,White
78,White
79,White
80,White
81,White
82,White
83,White
84,White
85,White
86,White
87,White
88,White
89,White
90,White
91,White
92,White
93,White
94,White
95,White
96,White
97,White
98,White
99,White
100,White
101,White
102,White
103,White
104,White
105,White
106,White
107,White
108,White
109,White
110,White
111,White
112,White
113,White
114,White
115,White
116,White
117,White
118,White
119,White
120,White
121,White
122,White
123,White
124,White
125,White
126,White
127,White
128,White
129,White
130,White
131,White
132,White
133,White
134,White
135,White
136,White
137,White
138,White
139,White
140,White
141,White
142,White
143,White
144,White
145,White
146,White
147,White
148,White
149,White
150,White
151,White
152,White
153,White
154,White
155,White
156,White
157,White
158,White
159,White
160,White
161,White
162,White
163,White
164,White
165,White
166,White
167,White
168,White
169,White
170,White
171,White
172,White
173,White
174,White
175,White
176,White
177,White
178,White
179,White
180,White
181,White
182,White
183,White
184,White
185,White
186,White
187,White
188,White
189,White
190,White
191,White
192,White
193,White
194,White
195,White
196,White
197,White
198,White
199,White
200,White
201,White
202,White
203,White
204,White
205,White
206,White
207,White
208,White
209,White
210,White
211,White
212,White
213,White
214,White
215,White
216,White
217,White
218,White
219,White
220,White
221,White
222,White
223,White
224,White
225,White
226,White
227,White
228,White
229,White
230,White
231,White
232,White
233,White
234,White
235,White
236,White
237,White
238,White
239,White
240,White
241,White
242,White
243,White
244,White
245,White
246,White
247,White
248,White
249,White
250,White
251,White
252,White
253,White
254,White
255,White
256,White
257,White
258,White
259,White
260,White
261,White
262,White
263,White
264,White
265,White
266,White
267,White
268,White
269,White
270,White
271,White
272,White
273,White
274,White
275,White
276,White
277,White
278,White
279,White
280,White
281,White
282,White
283,White
284,White
285,White
286,White
287,White
288,White
289,White
290,White
291,White
292,White
293,White
294,White
295,White
296,White
297,White
298,White
299,White
300,White
301,White
302,White
303,White
304,White
305,White
306,White
307,White
308,White
309,White
310,White
311,White
312,White
313,White
314,White
315,White
316,White
317,White
318,White
319,White
320,White
321,White
322,White
323,White
324,White
325,White
326,White
327,White
328,White
329,White
330,White
331,White
332,White
333,White
334,White
335,White
336,White
337,White
338,White
339,White
340,White
341,White
342,White
343,White
344,White
345,White
346,White
347,White
348,White
349,White
350,White
351,White
352,White
353,White
354,White
355,White
356,White
357,White
358,White
359,White
360,White
361,White
362,White
363,White
364,White
365,White
366,White
367,White
368,White
369,White
370,White
371,White
372,White
373,White
374,White
375,White
376,White
377,White
378,White
379,White
380,White
381,White
382,White
383,White
384,White
385,White
386,White
387,White
388,White
389,White
390,White
391,White
392,White
393,White
394,White
395,White
396,White
397,White
398,White
399,White
400,White
401,White
402,White
403,White
404,White
405,White
406,White
407,White
408,White
409,White
410,White
411,White
412,White
413,White
414,White
415,White
416,White
417,White
418,White
419,White
420,White
421,White
422,White
423,White
424,White
425,White
426,White
427,White
428,White
429,White
430,White
431,White
432,White
433,White
434,White
435,White
436,White
437,White
438,White
439,White
440,White
441,White
442,White
443,White
444,White
445,White
446,White
447,White
448,White
449,White
450,White
451,White
452,White
453,White
454,White
455,White
456,White
457,White
458,White
459,White
460,White
461,White
462,White
463,White
464,White
465,White
466,White
467,White
468,White
469,White
470,White
471,White
472,White
473,White
474,White
475,White
476,White
477,White
478,White
479,White
480,White
481,White
482,White
483,White
484,White
485,White
486,White
487,White
488,White
489,White
490,White
491,White
492,White
493,White
494,White
495,White
496,White
497,White
498,White
499,White
500,White
501,White
502,White
503,White
504,White
505,White
506,White
507,White
508,White
509,White
510,White
511,White
512,White
513,White
514,White
515,White
516,White
517,White
518,White
519,White
520,White
521,White
522,White
523,White
524,White
525,White
526,White
527,White
528,White
529,White
530,White
531,White
532,White
533,White
534,White
535,White
536,White
537,White
538,White
539,White
540,White
541,White
542,White
543,White
544,White
545,White
546,White
547,White
548,White
549,White
550,White
551,White
552,White
553,White
554,White
555,White
556,White
557,White
558,White
559,White
560,White
561,White
562,White
563,White
564,White
565,White
566,White
567,White
568,White
569,White
570,White
571,White
572,White
573,White
574,White
575,White
576,White
577,White
578,White
579,White
580,White
581,White
582,White
583,White
584,White
585,White
586,White
587,White
588,White
589,White
590,White
591,White
592,White
593,White
594,White
595,White
596,White
597,White
598,White
599,White
600,White
601,White
602,White
603,White
604,White
605,White
606,White
607,White
608,White
609,White
610,White
611,White
612,White
613,White
614,White
615,White
616,White
617,White
618,White
619,White
620,White
621,White
622,White
623,White
624,White
625,White
626,White
627,White
628,White
629,White
630,White
631,White
632,White
633,White
634,White
635,White
636,White
637,White
638,White
639,White
640,White
641,White
642,White
643,White
644,White
645,White
646,White
647,White
648,White
649,White
650,White
651,White
652,White
653,White
654,White
655,White
656,White
657,White
658,White
659,White
660,White
661,White
662,White
663,White
664,White
665,White
666,White
667,White
668,White
669,White
670,White
671,White
672,White
673,White
674,White
675,White
676,White
677,White
678,White
679,White
680,White
681,White
682,White
683,White
684,White
685,White
686,White
687,White
688,White
689,White
690,White
691,White
692,White
693,White
694,White
695,White
696,White
697,White
698,White
699,White
700,White
701,White
702,White
703,White
704,White
705,White
706,White
707,White
708,White
709,White
710,White
711,White
712,White
713,White
714,White
715,White
716,White
717,White
718,White
719,White
720,White
721,White
722,White
723,White
724,White
